date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-08-06,sz.399001,13972.3032,13972.3032,13661.8443,13863.1298,13960.9250,53428282477,721023901254.5600,-0.700492
2020-08-07,sz.399001,13813.7621,13847.1990,13411.6653,13648.4996,13863.1298,51074060065,700765738527.6900,-1.548209
2020-08-10,sz.399001,13576.3194,13752.2925,13453.9457,13657.3134,13648.4996,45259180522,630535955027.0900,0.064577
2020-08-11,sz.399001,13668.3056,13811.5189,13450.2297,13466.2675,13657.3134,46741569781,620588226420.0000,-1.398854
2020-08-12,sz.399001,13437.5661,13471.8204,13026.0109,13308.5217,13466.2675,45037701762,602930245068.1600,-1.171414
2020-08-13,sz.399001,13373.1634,13392.3470,13254.3928,13291.3199,13308.5217,40388645443,494330064817.7500,-0.129254
2020-08-14,sz.399001,13272.7074,13495.9737,13242.7791,13489.0095,13291.3199,38863053474,482289515330.4000,1.487359
2020-08-17,sz.399001,13542.0141,13756.6131,13490.6393,13742.2257,13489.0095,48909370237,616467249911.8900,1.877204
2020-08-18,sz.399001,13748.5154,13813.0217,13692.0738,13768.1672,13742.2257,47496163062,596898404210.6400,0.188772
2020-08-19,sz.399001,13741.2736,13741.2736,13472.9644,13480.8527,13768.1672,47995953969,590147208491.0900,-2.086803
2020-08-20,sz.399001,13387.8182,13476.0692,13270.1156,13320.9233,13480.8527,38938383360,470003203120.0900,-1.186345
2020-08-21,sz.399001,13445.9626,13547.7930,13373.7157,13477.9999,13320.9233,38432863844,482962971388.2200,1.179172
2020-08-24,sz.399001,13565.2840,13708.1219,13418.9613,13666.6926,13477.9999,41145802560,551396188567.9000,1.400005
2020-08-25,sz.399001,13692.4661,13788.4927,13620.6192,13669.4066,13666.6926,45693579230,586063103587.2700,0.019858
2020-08-26,sz.399001,13680.5853,13717.8980,13376.6610,13428.3991,13669.4066,46552848377,596614407088.9900,-1.763116
2020-08-27,sz.399001,13465.8931,13548.6599,13348.4472,13535.0904,13428.3991,41499513193,520691038561.3800,0.794520
2020-08-28,sz.399001,13509.3720,13868.2987,13483.2835,13851.3239,13535.0904,44122499526,568479063990.2800,2.336397
2020-08-31,sz.399001,13929.7475,13994.1433,13755.3632,13758.2278,13851.3239,45192552406,597534971537.2900,-0.672110
2020-09-01,sz.399001,13729.3878,13849.6578,13662.6851,13849.6578,13758.2278,39923789924,524538672487.1100,0.664548
2020-09-02,sz.399001,13881.0730,13944.1580,13737.8338,13887.4251,13849.6578,51729370287,623392812789.1800,0.272695
