date,code,open,high,low,close,preclose,volume,amount,pctChg,label
2021-01-19,sh.000001,3596.3564,3603.1477,3553.0236,3566.3814,3596.2237,32343954100,467402582397.1,-0.829823,1
2021-01-20,sh.000001,3564.121,3589.9624,3556.4425,3583.092,3566.3814,27227166100,397144766184.5,0.468559,1
2021-01-21,sh.000001,3590.9247,3636.2444,3585.8017,3621.2641,3583.092,32746699500,469855226645.9,1.06534,0
2021-01-22,sh.000001,3616.5401,3616.5401,3585.0339,3606.7496,3621.2641,32446308400,485452192409.9,-0.40081300000000003,1
2021-01-25,sh.000001,3605.3611,3637.1002,3591.0204,3624.2381,3606.7496,32734107000,527257347652.8,0.484883,0
2021-01-26,sh.000001,3610.9686,3610.9686,3564.7415,3569.429,3624.2381,27813988400,436326664645.8,-1.512293,1
2021-01-27,sh.000001,3567.5485,3578.7968,3546.492,3573.3412,3569.429,26410716100,396270389618.8,0.10960299999999999,0
2021-01-28,sh.000001,3534.6685,3549.544,3496.8788,3505.1759,3573.3412,27086246100,391574388026.6,-1.907607,0
2021-01-29,sh.000001,3521.7175,3531.5981,3446.5471,3483.0692,3505.1759,29366266400,416528620977.0,-0.630687,1
2021-02-01,sh.000001,3477.1715,3506.3889,3469.875,3505.2836,3483.0692,27756790100,371473066288.8,0.637782,1
2021-02-02,sh.000001,3510.8084,3535.502,3495.5681,3533.6849,3505.2836,26454063000,384127851092.3,0.810243,0
2021-02-03,sh.000001,3531.149,3544.0092,3508.5069,3517.308,3533.6849,29735171600,413731471970.7,-0.463451,0
2021-02-04,sh.000001,3503.7785,3524.7219,3465.7706,3501.8592,3517.308,29883485400,418742552801.5,-0.439222,0
2021-02-05,sh.000001,3509.4874,3536.5417,3492.9624,3496.3329,3501.8592,29014617400,397391919559.0,-0.15780999999999998,1
2021-02-08,sh.000001,3504.5631,3542.2075,3492.1286,3532.4467,3496.3329,24979961900,359187319179.3,1.032905,1
2021-02-09,sh.000001,3539.7726,3604.0112,3528.6755,3603.489,3532.4467,25382176000,371567972460.7,2.011136,1
2021-02-10,sh.000001,3612.6125,3662.7655,3612.5049,3655.088,3603.489,25794082400,392643389630.2,1.431918,1
2021-02-18,sh.000001,3721.0865,3731.687,3663.6637,3675.3571,3655.088,34030906500,483546564601.1,0.554545,1
2021-02-19,sh.000001,3661.7834,3699.6502,3634.0149,3696.168,3675.3571,36105980400,484990205753.6,0.566228,0
2021-02-22,sh.000001,3707.1912,3717.2669,3642.4449,3642.4449,3696.168,48882147800,599323102080.9,-1.453481,0
2021-02-23,sh.000001,3617.7013,3672.1511,3617.7013,3636.3573,3642.4449,39887317400,479631810240.2,-0.16713,0
2021-02-24,sh.000001,3638.9359,3645.6474,3531.5936,3564.0799,3636.3573,36215895200,484430414619.7,-1.987632,1
2021-02-25,sh.000001,3595.5424,3608.5568,3568.4735,3585.0458,3564.0799,36623229900,444735017112.4,0.588256,0
2021-02-26,sh.000001,3514.5648,3550.4055,3500.7036,3509.0804,3585.0458,33328006700,424485913919.4,-2.118952,1
2021-03-01,sh.000001,3531.4802,3552.5665,3511.9888,3551.3998,3509.0804,31548752600,402477044217.4,1.205997,0
2021-03-02,sh.000001,3566.852,3566.852,3485.3635,3508.5912,3551.3998,33983048600,427680453057.6,-1.205401,1
2021-03-03,sh.000001,3500.1576,3577.6218,3498.7192,3576.9045,3508.5912,34765684600,415490345736.0,1.9470290000000001,0
2021-03-04,sh.000001,3546.6406,3552.2024,3487.3757,3503.4916,3576.9045,39361612000,462233734230.9,-2.0524139999999997,0
2021-03-05,sh.000001,3463.3086,3523.5682,3456.6668,3501.9867,3503.4916,35640922300,408849901855.9,-0.042954,0
2021-03-08,sh.000001,3524.983,3542.3039,3421.2153,3421.4141,3501.9867,38704795400,453859203341.8,-2.300768,0
2021-03-09,sh.000001,3415.3391,3429.1503,3328.3119,3359.292,3421.4141,40765253900,456196190297.0,-1.8156849999999998,0
2021-03-10,sh.000001,3389.8388,3397.0251,3354.823,3357.7372,3359.292,29974916600,339571691506.0,-0.046284,1
2021-03-11,sh.000001,3369.9024,3436.8313,3369.9024,3436.8313,3357.7372,32211204400,369805365528.1,2.3555770000000003,1
2021-03-12,sh.000001,3447.2033,3454.5064,3417.2389,3453.0777,3436.8313,35802703500,381964281221.5,0.47271499999999994,0
2021-03-15,sh.000001,3441.882,3457.4892,3392.5089,3419.9456,3453.0777,36781329300,381646491324.5,-0.9594950000000001,1
2021-03-16,sh.000001,3424.6524,3448.8829,3406.1746,3446.7334,3419.9456,31666874700,332388484730.3,0.783281,0
2021-03-17,sh.000001,3435.7319,3454.0562,3410.2815,3445.5509,3446.7334,28005981800,306630472148.0,-0.034308,1
2021-03-18,sh.000001,3449.6413,3478.1447,3449.3774,3463.0681,3445.5509,28440389100,316529174115.7,0.508401,0
2021-03-19,sh.000001,3423.8733,3439.5236,3389.2929,3404.6634,3463.0681,30916171600,339992292814.0,-1.686502,1
2021-03-22,sh.000001,3406.1227,3443.6596,3404.2341,3443.4392,3404.6634,31255908400,332535035841.3,1.138903,0
2021-03-23,sh.000001,3445.3408,3445.4159,3390.0477,3411.5088,3443.4392,32638940900,343477167707.1,-0.9272819999999999,0
2021-03-24,sh.000001,3394.1283,3415.2949,3362.1847,3367.0606,3411.5088,31739869700,344800038245.8,-1.3028899999999999,0
